name,address,phone,email,website
Dental Horizons,NJ,,,
Richard C. Genung. Family & Cosmetic Dentistry,NJ,,,
Dental Office,NJ,,,
Franklinville Family Dentistry,"Delsea Drive, Franklinville, NJ",1-856-694-5555,,
Sorina Dental Office,"Morris Avenue, NJ",,,
"David W. Paulussen, DMD","US Hwy 46 W, Hackettstown, NJ, 07840",+1 909 850 4200,,
Parkway Dental,"South Crescent Boulevard, Camden, NJ, 08105",,,
West Washington Family Dentistry,"East Washington Avenue, Washington, NJ, 07882",+1 908-835-0800,,https://www.westwashingtonfamilydentistry.com/
Bedminster Family & Cosmetic Dentistry - Dr. Mike Mavrostomos,"Robertson Drive, Bedminster, NJ, 07921",908-234-1401,,https://www.bedminsterdental.com/
Bayshore Family & Cosmetic Dentistry,"Maple Place, Keyport, NJ, 07735",(732) 264-1011,,
Family Dental - Dr. Ira Bauman,"East Front Street, Keyport, NJ, 07735",(732) 264-3865,,http://www.keyportdentist.com/
Kenilworth Dental Associates,"Boulevard, Kenilworth, NJ, 07033",,,
Family Dentist D.D.S.,NJ,,,
"Dr. Suzanne Grubowski, Family & Cosmetic Dentistry",NJ,,,
Hazlet Family Dental,"NJ 35, Hazlet Township, NJ, 07730",1-732-264-8004,,
Acorn Pediatric Dental,NJ,,,
Oakwood Dental,NJ,,,
Smile Central Dental,NJ,,,
Warren Torchinsky,"East Main Street, Maple Shade Township, NJ, 08052",,,
Dr Tyl,NJ,,,
Great Smiles of Elizabeth,"North Broad Street, NJ, 07208",(908) 352-7730,,
ABA Pediatric Dental,"Journal Square Plaza, Jersey City, NJ, 07306",+1 201 3860353,,http://dentalhealthcenter.com/
Unknown Dental Clinic,NJ,,,
Unknown Dental Clinic,NJ,,,
Unknown Dental Clinic,NJ,,,
Smiles,"Pittstown Road, Pittstown, NJ, 08867",,,
"Isaac Menasha, DDS","W. Saint Georges Avenue, Linden, NJ, 07036",1-908-486-8809,,https://imdentistry.com/
Smile Dental Center Of NJ PA,"Bergenline Avenue, North Bergen, NJ, 07047",1-201-861-4600,,http://smiledentalnjpa.com
True Dental Care for Kids & Teens,"Brunswick Street, Jersey City, NJ, 07302",1-201-565-880,help@pediatricdentalnj.com,http://www.pediatricdentalnj.com
Princeton Center for Dental Aesthetics and Implants,NJ,,,
Main St. Dental,NJ,,,
"Laura Randolph, DMD","North Franklin Turnpike, Ramsey, NJ, 07446",1-201-327-1976,dr.lauraannrandolph@gmail.com,https://www.drlaurarandolph.com/
Dental Associates,NJ,,,
Brickworks Dental,"Harding Highway, Mays Landing, NJ, 08330",,,
Rubino James M DMD,NJ,,,
Union City Oral Surgery Group,"33rd Street, Union City, NJ, 07087",1-201-601-9262,,https://www.unioncityoralsurgerygroup.com/
Marshall Kevin D DDS,"Mountainview Boulevard, Wayne, NJ, 07470",,,
Dr. A.W. Baghal Family Dentistry,"NJ-23, Wayne, NJ, 07470",,,
Spitzer Dental Design- Dentist Wayne NJ,"NJ-23, Wayne, NJ, 07470",,,
Advanced Dental Techniques,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Life Smile Dentistry,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
"Burton, Alan M DMD","Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Dr. Hyon K. Yoo,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Singla Sandeep K DDS,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Wayne Family Orthodontics,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
"Dr. Lori A. Vanderwende-Perrone, DMD","Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Dynamic Dental Arts,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Glow Dental Spa,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
TK Dental,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
TK Dental - Tatyana Kaminar DDS P.C.,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Avant Garde Dental Arts,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
TDL Dental Laboratory,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Ivory Dental Center,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
"Irfan Farhat, DDS","Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Dayspring & Macaluso,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Campbell Lillian,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
JSC Dentistry / Frank J. Russo DMD,"Berdan Avenue, Wayne, NJ, 07470",,,
Hung Chung Y DDS,"Valley Road, Wayne, NJ, 07470",,,
North Jersey Endontics: Lubit Fredric A DDS,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Klele Luke T DMD,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Wayne Pediatric Dental Care,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
"Dr. Heather K. Sculthorpe, DMD","Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Johnson Bryan D DDS,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Johnson Bryan D DMD: Wayne Pediatric Dental Care,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Wayne Pediatrics Dental Care: Chu Ken DDS,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Wayne Pediatrics Dental Care: Hovsky Julia DDS,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Di Taranto Dan P DDS,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Integrated Dental Aesthetics,"Keil Avenue, Kinnelon, NJ, 07405",1-973-838-4460,,https://www.doctorlogan.com/
Jacob Dental Center,"Kaighn Avenue, Camden, NJ, 08103",,,
Raritan Dental Care Inc,"W. Somerset Street, Raritan, NJ, 08869",,,
Park Avenue Gentle Dental: Dr. Harsha Patel DDS,"Park Avenue, Plainfield, NJ, 07060",1-908-756-1009,,https://www.harshagentledental.com/
Marini & Manci,NJ,+1 (201) 864-8510,,https://www.mariniandmanci.com/
RiteSmile Dental,NJ,,,
Brighter Dental,NJ,,,
Manville Dental Group,"Washington Avenue, Manville, NJ, 08835",,,
Branchburg Pediatric Dentistry,NJ,,,
Asen Jeffrey M DDS,NJ,,,
Branchburg Harmony Dental,NJ,,,
Steven Markowitz DDS,NJ,,,
Ram Dental Associates PA,NJ,,,
Dzemaludin Harba Family Dentistry,"West Midland Avenue, Paramus, NJ, 07652",2016701765,,
"Dental Group Of Morristown, LLC","Washington Street, NJ",,,
Life Ok Dental LLC,"Reynolds Avenue, Parsippany-Troy Hills Township, NJ, 07054",973-887-3000,,https://www.politedentalcare.net/
Elizabeth Dental Care,"Westfield Avenue, Elizabeth, NJ, 07208",+1 908-353-0900,,http://www.elizabethdentalcare.net
State Street Smiles,NJ,,,
DENTAL CENTER,NJ,,,
The Dentists LLC,"Palisade Avenue, Teaneck, NJ, 07666",+1 201-836-2720,,http://thedentistsllc.com
Mee Dental,NJ,2019479900,,
United Dental Group,NJ,,,
Unknown Dental Clinic,NJ,,,
Value Dental,NJ,,,
Unknown Dental Clinic,NJ,,,
Dr. Angela Aaron Dental,"Franklin Turnpike, Waldwick, NJ, 07463",,,
Teeth Tamers Orthodontics,"U.S. 9, #201, Englishtown, NJ, 07726",732-792-3581,,https://www.teethtamersortho.com/
Unknown Dental Clinic,NJ,,,
Glickman & Christensen Premier Dentistry,"Franklin Turnpike, Waldwick, NJ, 07463",,,
Thomas J. Giusto,NJ,,,
Dr. R. M. Brown Dentistry,NJ,,,
Bruzzichesi Orthodontics,NJ,,,
Schuster Family Orthodontics,NJ,,,
Bayside Dental,NJ,,,
"Ewa Awad, D.D.S.",NJ,,,
Cranford Smiles,NJ,908-272-0787,,
Blue Dental,NJ,,,
Thomas Pijanowski DMD,NJ,,,
Clear Smile,NJ,,,
Fanwood Dental Group,NJ,,,
Unique Family Dentistry,NJ,,,
Banker Dental Associates,"Elmora Avenue, Elizabeth, NJ, 07202",1-908-354-1490,,https://www.bankerdental.com/
Eastern Dental,NJ,,,
Gerstenfield Dental,NJ,,,
Hoboken Family Dental,NJ,,,
Family & Cosmetic Dentistry,NJ,,,
Dental Arts,"Washington Street, Hoboken, NJ, 07030",,,
S&L Dental,NJ,,,
Hoboken Orthodontics,NJ,,,
Modern Micro Endodontics,"Washington Street, Hoboken, NJ, 07030",,,
Dental Associates of Hoboken,NJ,,,
"Marian Farag, D.M.D.",NJ,,,
Periodontics & Implant Center,NJ,,,
Allwood Family Dentistry,NJ,,,
Eastern Dental - Manahawkin,NJ,,,
Neptune Family Dental,NJ,,,
Dental Care Hillsborough,NJ,,,
Amwell Dental,NJ,,,
Mountain View Dental Art & Implant Center,NJ,,,
Dental Arts Of Haddonfield,"Kings Highway West, Haddonfield, NJ, 08033",1-856-429-5622,dentalartshaddonfield@gmail.com,https://www.dentalartsofhaddonfield.com/
Montclair South Dental Associates,NJ,,,
Maya Fuchs,NJ,,,
Furie Periodontics & Implants,NJ,,,
Coastal Dental Group,"Bridge Avenue, Point Pleasant, NJ, 08742",(732) 714-1030,doczeke167@aol.com,https://coastaldentalnj.com/
Paramus Park Dental,NJ,,,
Dear Tooth Fairy,NJ,,,
Ho-Ho-Kus Dental Associates,"North Maple Avenue, NJ",,,
