Name,Address,Phone,Website,Rating,Email
65 Broadway Dental,"65 Broadway #408, New York, NY 10006, USA",(212) 430-3888,https://65broadwaydental.com/,4.2,office@65broadwaydental.com
DDS Group,"42 Broadway # 1515, New York, NY 10004, USA",(212) 269-6655,https://www.ddsgroupnyc.com/,4.7,info@ddsgroupnyc.com
"Dr. Paul I. Cohen Jr, DDS","225 Broadway, New York, NY 10007, USA",(212) 732-7400,http://downtown-manhattan-dental.com/,1.3,
Wall Street Dental Spa - Financial District,"30 Wall St #720, New York, NY 10005, USA",(212) 514-5514,https://wallstdentalspanyc.com/,4.9,Info@wallstdentalspanyc.com;info@wallstdentalspanyc.com
Maurer Wayne M DDS,"225 Broadway # 1420, New York, NY 10007, USA",(212) 732-2100,http://manhattan-dental-specialty.com/oralsurgery/oral-surgery-dentist.html,1,
Access Dental Group Manhattan PLLC,"139 Centre St Suit 322, New York, NY 10013, USA",(212) 240-0028,http://www.accessdentalgroupny.com/,3.7,accessdentalgroup@gmail.com;accessdentalgroupm@gmail.com
Yeung's Dental Care Pc,"139 Centre St, New York, NY 10013, USA",(212) 966-5726,http://www.michaelyeungdds.com/,2.3,
Hanson Place Dental,"177 Livingston St, Brooklyn, NY 11201, USA",(718) 403-0700,https://www.downtownbrooklyn-dental.com/,1.7,appointment@hansonplacedental.com
"Dr. James A. Gray, DDS","225 Broadway Suite 1012, New York, NY 10007, USA",(212) 732-7400,,,
"Dr. Jeffrey Rouse, DDS","225 Broadway # 1020, New York, NY 10007, USA",(212) 374-9500,,,
Metropolitan Dental Associates,"225 Broadway, New York, NY 10007, USA",(212) 732-7400,https://downtown-manhattan-dental.com/,2.4,
"Brooklyn Heights Dental: Eugene D. Stanislaus, DDS","44 Court St #808, Brooklyn, NY 11201, USA",(718) 857-6639,https://www.brooklynheightsdental.com/eugene-d-stanislaus-dds,4.8,
Dr. Paul Markel,"81 Willoughby St, Brooklyn, NY 11201, USA",(718) 797-3935,http://www.paulmarkeldds.com/,4.5,
"Shu Ping Rong, DDS","101 Lafayette St 6th floor, New York, NY 10013, USA",(212) 226-6368,http://drrongdds.com/,4.6,drrongdental@gmail.com
Scheuerman Cecilia DDS,"15 Maiden Ln # 701, New York, NY 10038, USA",(212) 385-4666,,5,
"Matthew L. Bellafiore, DDS","185 Montague St 3rd floor, Brooklyn, NY 11201, USA",(718) 875-9424,https://www.creativedentistrybrooklyn.com/,4.9,
Lutheran Family Health Center- Brooklyn Heights Dentistry,"339 Hicks St, Brooklyn, NY 11201, USA",(718) 780-1243,,5,
"Dr. Joy Hudecz, DDS","142 Joralemon St # 6B, Brooklyn, NY 11201, USA",(718) 625-2299,http://www.bkfamilyortho.com/,5,info@bkfamilyortho.com
Chien Chun-En DDS,"128 Mott St STE 306, New York, NY 10013, USA",(212) 219-9333,,,
Richard Yang D.D.S.,"128 Mott St STE 306, New York, NY 10013, USA",(212) 219-9333,http://empressdental.com/,4.1,info@empressdental.com
Dr. Jeffrey R. Shapiro - iSmile,"111 Broadway # 17, New York, NY 10006, USA",(212) 267-1884,http://www.ismile.com/,5,
"Emergency Dentist Brooklyn Services, PC","142 Joralemon St #6e, Brooklyn, NY 11201, USA",(718) 550-2784,http://www.emergency-dentist-brooklyn.com/,3.9,
"House of Braces: Yon H. Lai, DDS, PC","11 E Broadway 15th Floor, New York, NY 10038, USA",(212) 267-1800,,3.7,
