Name,Category,Phone,Email,Website,Address,general_info,Source,
Attic Self Storage,"Warehouses-Merchandise, Mailbox Rental, Movers",(415) 626-2510,,http://www.atticselfstorageca.com/,"2440 16th St, San Francisco, CA 94103","Attic Self Storage is a single location facility ― not part of a chain. We are extremely proud of our over 35 years of service to Potrero Hill, San Francisco consumers. We know there is a difference, and we've been making that happen for years. Our spacious and unique building is the former home of Hamm's Brewery. Converted to storage in 1976, the facility has over 1500 units on 4 floors with a heavy-duty freight elevator. Our carts and private parking lot make access to your Potrero San Francisco self storage unit easy and efficient. •Moving Supplies - Everything you need in one place. Selected with the do-it-yourself mover in mind. •Mail Box Service - Local mail service. Short-term rentals available. •Document Shredding Drop Site - Secure drop area with locked containers. Pick up and highly secure shredding service via Shred Works. •Your Lock, Your Key - Each unit is alarmed. The alarm is controlled by a personalized code YOU have selected.",yellowpage,
Valley Center Mini Storage,"Self Storage, Cold Storage Warehouses, Public & Commercial Warehouses",(760) 297-6640,,https://randmministorage.net/,"28434 Cole Grade Rd,  Valley Center, CA 92082",Low Cost Self Storage. open Seven Days A Week!!!! RV and Boat Storage . No Deposit needed! Call today to reserve your space today!!!,yellowpage,https://www.yellowpages.com/search?search_terms=warehouse&geo_location_terms=CA
Unicold Corporation,"Frozen Food Locker Plants, Cargo & Freight Containers, Cold Storage Warehouses",(808) 829-3436,sales@unicoldcorp.com,https://www.unicoldcorp.com/,"3140 Ualena,  Honolulu, HI 96819","Unicold Corporation has been in the refrigerated food distribution industry for more than half a century. Our experience means we know the best methods to transport your products to their destination in the most efficient way. Weve expanded our company to have locations in Honolulu, Hawaii; Los Angeles, California; Oakland, California; and Seattle, Washington. Get in touch to find out how easy we make shipping.MAKING SHIPPING EASY SINCE 1962Shipping food is one of the most important tasks to do. Unicold Corporation has made refrigerated and frozen food transportation a simple process for decades. We streamline the entire operation so you dont have to worry about anything on our end. From the first quote to the final distribution, our team ensures we are the easiest shipping company to work with from the West Coast to Hawaii.FIRST-RATE WAREHOUSINGOur refrigerated warehouse is the largest in Hawaii and conveniently located near the piers and airport in Honolulu on the island of Oahu. Your products are safely stored at the right temperatures to ensure their quality.shipping food from Los Angeles to Hawaii ,shipping food from Oakland California to Hawaii , Shipping Food from Seattle to the Hawaiian IslandsUnicold Corporation has been providing cold storage and distribution of frozen and refrigerated foods to people in Hawaii.Ideally situated in the Pacific Northwest, California and Hawaii, we take the extra effort of distributing your products from the production source to you, the ultimate consumer.Our West Coast Locations allow easy access from rail or truck, making shipments to Hawaii a breeze.In Hawaii, our main warehouse is minutes from the port of Honolulu and the Daniel K Inouye International Airport.Ocean and air shipments are handled quickly and efficiently.Regular scheduled consolidated shipments are made on the island of Oahu as well as the neighbor islands.Skilled ProfessionalsUnicold Corporation employs skillfully trained professionals to better serve you.Our staff are familiar with all phases of order flow and service requirements.Unicold Corporation has the largest refrigerated food warehouse in the islands.We have all the facilities, manpower, and expertise to assure your refrigerated shipments are well taken care of.",yellowpage,1770
Brea U-Store,"Self Storage, Business Documents & Records-Storage & Management, Moving-Self Service",(562) 383-7809,bill@tomlinsonmgt.com,http://www.breaselfstorage.com/,"1441 W Lambert Rd,  Brea, CA 92821",SELF-STORAGE & PACKING SUPPLIES,yellowpage,
Fisher Larry & Sons,"Shelving-Wholesale & Manufacturers, Display Fixtures & Materials, Industrial Equipment & Supplies",(559) 495-9276,cfisher@lfsrack.com,http://www.larryfisherandsons.com/,"5242 E Home Ave,  Fresno, CA 93727",Please Visit Our Website for More Information,yellowpage,
Dakota Park Boat & RV Mega Storage,"Self Storage, Automobile Storage, Boat Storage",(559) 892-1293,prostho2th@yahoo.com,https://www.dakotaparkstorage.com/,"3515 West Dakota Avenue,  Fresno, CA 93722","Dakota Park Boat & RV Mega Storage offers premier secure boat and RV storage facilities designed to accommodate large vehicles and recreational equipment. Our modern facility provides large enclosed storage units featuring 14-foot high by 14-foot-wide doorways, opening into 16-foot-tall enclosed spaces, ideal for boats, RVs, and other sizable items. We prioritize the safety of your property with advanced security measures, including on-site management, video surveillance, and laser motion detectors. For your convenience, our facility offers 24/7 access, allowing you to retrieve or store your belongings at any time. Understanding the diverse needs of our clients, we provide affordable self-storage solutions with flexible pricing options, including monthly, quarterly, semi-annual, and annual rates. Discounts are available for long-term leases, ensuring cost-effective storage solutions. Dakota Park Storage Additional amenities include electric door openers, paved driveways, vehicle detailing services, sewer dump stations, and wash areas, enhancing the convenience and functionality of our covered storage spaces. Our strategic location within the Fresno/Clovis area, near Highway 99, ensures easy accessibility for residents and travelers. Contact Dakota Park Boat & RV Mega Storage today at 559-271-5300 or email info@dakotaparkstorage.com to learn more about our current specials and secure the perfect storage solution for your needs.",yellowpage,
Red Carpet Mini Storage,"Self Storage, Public & Commercial Warehouses",(707) 468-8887,redcarpet@pacific.net,http://redcarpetministorage.net/,"151 Lake Mendocino Dr,  Ukiah, CA 95482","Easy Drive-Up Access To Units with State-Of-The-Art 24 Hour Video Surveillance. 8x8, 8x10, 8x12, 8x14 or 10x20.",yellowpage,
Locatelli Moving and Storage,"Movers & Full Service Storage, Movers, Public & Commercial Warehouses",(831) 281-3050,locatellimoving@gmail.com,https://www.locatellimoving.com/,"372 S Abbott Ave.,  Milpitas, CA 95035","Locatelli Moving and Storage is your full service moving company for both residential and commercial moves. We offer professional packing services, local moving, storage, overseas relocation and long distance intra and interstate relocation.",yellowpage,
South Santa Fe Space Center Mini Storage,"Self Storage, Public & Commercial Warehouses, Storage Household & Commercial",(760) 691-1838,nne@pinamontirentals.com,https://www.spacecentermini.com/contactus.aspx,"2244 S Santa Fe Ave Ste F,  Vista, CA 92084","Low Cost Storage Open Seven days a week , R V & Boat Storage , All Ground level , No Deposits . Call Today ! For Reserving your Storage Space !!",yellowpage,
Melrose Mini-Storage,"Self Storage, Boat Storage, Public & Commercial Warehouses",(760) 691-1541,anne@pinamontirentals.com,http://melroseministorage.com/,"725 Olive Ave,  Vista, CA 92083","Low Cost Storage Open Seven days a week , R V & Boat Storage , All Ground level , No Deposits . Call Today ! For Reserving your Storage Space !!",yellowpage,
