Name,Phone,Email,Email,Website,Address,Source
J & M Self-Storage Inc," 
 Self Storage, Mail & Shipping Services, Movers",(732) 603-1837, vyborg67@optonline.net,http://www.jmselfstorage.com/,"1939 Oak Tree Rd, 1939 Oak Tree RdEdison, NJ 08820", Yellow Page
New Jersey Coast Transfer Co," Public & Commercial Warehouses, Movers, Relocation Service",(732) 962-9100, anndou@msn.com,https://www.njcoasttransfer.com/,"260 Jeffrey Street, 260 Jeffrey Street,  Long Branch, NJ 07740", Yellow Page
iStorage,"Storage Household & Commercial, Automobile Storage, Boat Storage",(908) 332-0964, customerservice@nsabrands.com,https://www.nsastorage.com/storage/new-jersey/storage-units-bridgewater/22-Van-Veghten-Dr-489,"22 Van Veghten Dr, 22 Van Veghten Dr,  Bridgewater, NJ 08807", Yellow Page
Storage King USA,"Storage Household & Commercial, Automobile Storage, Boat Storage",(973) 473-0100, passaic@storagekingusa.com,https://www.storagekingusa.com/locations/new-jersey/passaic/passaic,"838 Main Ave, 838 Main Ave,  Passaic, NJ 07055", Yellow Page
Premier Distribution Services Inc,"Warehouses-Merchandise, Public & Commercial Warehouses, Self Storage",(732) 564-1881,,,"44 Heller Park Ln, 44 Heller Park Ln,  Somerset, NJ 08873", Yellow Page
A Santini Moving & Storage Co,"Movers & Full Service Storage, Cold Storage Warehouses, Public & Commercial Warehouses",(973) 228-7211,,http://www.santinimoving.com/,"1 Steel Ct, 1 Steel Ct,  Roseland, NJ 07068", Yellow Page
Access Self Storage,"Self Storage, Automobile Storage, Boat Storage",(732) 792-8200, manalapan@access-store.com,https://www.accessselfstorage.com/new-jersey-storage-locations/manalapan/100-madison-ave.,"100 Madison Ave, 100 Madison Ave,  Manalapan, NJ 07726", Yellow Page
Bassett Furniture Warehouse,"Warehouses-Merchandise, Public & Commercial Warehouses",(908) 964-0921,,https://www.bassettfurniture.com/,"655 Rahway Ave, 655 Rahway Ave,  Union, NJ 07083", Yellow Page
Satellite Self Storage,"Storage Household & Commercial, Automobile Storage, Cold Storage Warehouses",(732) 493-3393, satellitestorageocean@gmail.com,http://www.satelliteselfstorage.com/,"2120 Kings Hwy, 2120 Kings Hwy,  Ocean, NJ 07712", Yellow Page
USA Container Co,"Self Storage, Public & Commercial Warehouses, Warehouses-Merchandise",(732) 752-4805,,,"130 2nd St, 130 2nd St,  Dunellen, NJ 08812", Yellow Page
Berk's Warehouse & Trucking,"Public & Commercial Warehouses, Local Trucking Service, Warehouses-Merchandise",(908) 523-9696,,http://berkswhse.com/,"340 S Stiles St, 340 S Stiles St,  Linden, NJ 07036", Yellow Page
Myles Warehouse & Distribution,"Public & Commercial Warehouses, Storage Household & Commercial, Warehouses-Merchandise",(856) 829-8526,,http://mylestrans.com/contact-us,"2200 Garry Rd, 2200 Garry Rd,  Cinnaminson, NJ 08077", Yellow Page
Access Self Storage,"Self Storage, Automobile Storage, Boat Storage",(201) 337-8646, oakland@access-store.com,https://www.accessselfstorage.com/new-jersey-storage-locations/oakland/21-raritan-rd,"21 Raritan Rd, 21 Raritan Rd,  Oakland, NJ 07436", Yellow Page
Larken Mini Storage,"Self Storage, Cold Storage Warehouses, Public & Commercial Warehouses",(908) 904-0569, drappaport@larken.net,http://www.larkenassociates.com/,"249 Homestead Rd, 249 Homestead Rd,  Hillsborough, NJ 08844", Yellow Page
SDR Electric Inc Warehouse,"Public & Commercial Warehouses, Warehouses-Merchandise",(609) 394-8087,,,"116 Schenck St, 116 Schenck St,  Trenton, NJ 08611", Yellow Page
Alpha Warehousing Corp,"Storage Household & Commercial, Business Documents & Records-Storage & Management, Cold Storage Warehouses",(201) 945-4004, alphawarehouse@yahoo.com,http://www.alphawarehousing.com/,"1100 River St, 1100 River St,  Ridgefield, NJ 07657", Yellow Page
Hunterdon Storage Ringoes,"Storage Household & Commercial, Cold Storage Warehouses, Public & Commercial Warehouses",(908) 284-6054,,http://hunterdonstorageflemington.com/,"1012 Us Highway 202, 1012 Us Highway 202,  Ringoes, NJ 08551", Yellow Page
