Name,Category,Telephone,Email,Website,Address,Source
Prime Storage,Self-storage facility,(347) 252-6172,,https://www.google.com/aclk?sa=l&ai=DChcSEwiexJnw08yNAxXJH60GHWvjHDwYABAAGgJwdg&co=1&ase=2&gclid=EAIaIQobChMInsSZ8NPMjQMVyR-tBh1r4xw8EBAYAiAAEgLTpvD_BwE&category=acrcp_v1_48&sig=AOD64_1u5ij9AsJEnYeG9w0WCVyd4UXbhw&adurl&q&ctype=99&nis=5,,Google Maps
Terminal Warehouse,Warehouse,(212) 417-9180,,http://www.terminalwarehouse.nyc/,,Google Maps
Warehousing NYC By Best,Warehouse,(917) 540-5465,,https://warehousing-nyc.com/,,Google Maps
NYC HRA WAREHOUSE.,Warehouse,(718) 637-2718,,http://www1.nyc.gov/site/hra/index.page,,Google Maps
B&H Warehouse,Warehouse,(800) 221-5743,,https://www.bhphotovideo.com/,,Google Maps
The Warehouse 520,Real estate developer,(212) 685-6089,,,,Google Maps
AUTHENTIC WAREHOUSE,Logistics service,(215) 962-1888,,http://authenticwarehouse.com/,,Google Maps
3PL Warehouse By Best,Warehouse,(917) 994-9793,,https://3pl-warehouse-nyc.com/,,Google Maps
ReadySpaces,Warehouse,(551) 278-9374,,https://readyspaces.com/location/new-york-city/ridgewood/,,Google Maps
Portal Warehousing | Co-Warehousing & Logistics Space in Manhattan,Warehouse,(332) 208-9639,,,,Google Maps
Lectrox Warehouse Ltd,Storage facility,(706) 690-8852,,,,Google Maps
Otis Warehouse,Warehouse,(718) 361-9103,,,,Google Maps
Fabric Warehouse NYC,Fabric store,(212) 575-4744,,https://fabricwarehousenyc.com/,,Google Maps
Warehouse Studios,Photography studio,(347) 689-4896,,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwj8v77108yNAxWRH60GHTH9MksYABAAGgJwdg&co=1&ase=2&gclid=EAIaIQobChMI_L--9dPMjQMVkR-tBh0x_TJLEBAYASAAEgIoCfD_BwE&ohost=www.google.com&cid=CAASEuRoWjKw9RAw9kIyNJVMV0o10w&category=acrcp_v1_40&sig=AOD64_2T4khDUW72bWYNxommoxG43Em2mQ&adurl&q&ctype=99&nis=5,,Google Maps
Storage Rentals of America,Self-storage facility,(973) 520-0109,,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwj8v77108yNAxWRH60GHTH9MksYABABGgJwdg&co=1&ase=2&gclid=EAIaIQobChMI_L--9dPMjQMVkR-tBh0x_TJLEBAYAiAAEgJzAPD_BwE&ohost=www.google.com&cid=CAASEuRoWjKw9RAw9kIyNJVMV0o10w&category=acrcp_v1_40&sig=AOD64_39q7wblVP9xpmbbYsDq8ets55lew&adurl&q&ctype=99&nis=5,,Google Maps
Phoenix Warehouse of New Jersey,Warehouse,(800) 521-0074,,https://www.phoenix-warehouse.com/,,Google Maps
New York Wine Warehouse,Wine store,(212) 956-2250,,http://www.nywines.com/,,Google Maps
Bounce Luggage Storage - Pennsylvania Station,Luggage storage facility,(347) 970-7778,,https://bounce.com/stores/new-york/Iinq02?utm_campaign=store_gmbs&utm_medium=website_url&utm_source=gmb,,Google Maps
AS WAREHOUSE,Grocery store,(347) 457-5923,,,,Google Maps
