Name,Email,Phone,Website,Address,Source,All_Emails
Ameri-Connect Freight Services Inc,info@ameri-connect.com,(716) 892-9210,https://www.ameri-connect.com,"2775 Broadway, Buffalo, NY 14227",findawarehouse.org,['info@ameri-connect.com']
Fond du lac Cold Storage Clyde NY,,(732) 650-9200,http://www.fdlwarehouse.com,"80 Davis Pkwy, Clyde, NY 14433-9590",findawarehouse.org,[]
Fond du lac Cold Storage Menands NY,,(732) 650-9200,http://www.fdlwarehouse.com,"381 Broadway, Menands, NY 12204-2880",findawarehouse.org,[]
Laub International Inc,laub@laubinternational.com,(716) 853-3703,https://www.laubinternational.com,"1051 Clinton St, Buffalo, NY 14206-2823",findawarehouse.org,['laub@laubinternational.com']
Lincoln Warehousing,,(716) 823-2142,https://www.lincolnwarehousing.com,"10 N. Gates Avenue, Lackawanna, NY 14218-1028",findawarehouse.org,[]
Lincoln Warehousing - Buffalo,,(716) 823-2142,https://www.lincolnwarehousing.com,"155 Great Arrow Ave, Buffalo, NY 14207-3011",findawarehouse.org,[]
Lincoln Warehousing - Lackawanna,,(716) 823-2142,https://www.lincolnwarehousing.com,"10 N Gates Ave, Buffalo, NY 14218-1028",findawarehouse.org,[]
Lincoln Warehousing - Syracuse,,(716) 823-2142,https://www.lincolnwarehousing.com/,"3955 Eastbourne Drive, Syracuse, NY 13206",findawarehouse.org,[]
"M and M Forwarding of Buffalo, N.Y., Inc.",hiring@mmforward.com,(716) 692-1825,https://www.mmforward.com,"600 Main StPO Box 888, Tonawanda, NY 14150-3723",findawarehouse.org,"['hiring@mmforward.com', 'sales@mmforward.com']"
"NEXgistics, LLC",info@nexgistics.com,(716) 662-3500,http://www.NEXgistics.com,"1161 Vision Pkwy, Corfu, NY 14036-9795",findawarehouse.org,['info@nexgistics.com']
Phoenix Logistics LLC - Binghamton,info@phoenix3pl.com,(920) 915-9746,http://www.phoenix3pl.com,"14 Nowlan Rd # 36, Binghamton, NY 13901",findawarehouse.org,['info@phoenix3pl.com']
Phoenix Logistics LLC - Endicott,info@phoenix3pl.com,(920) 915-9746,http://www.phoenix3pl.com,"1700 North St, Endicott, NY 13760-6174",findawarehouse.org,['info@phoenix3pl.com']
Phoenix Logistics LLC - Glen Falls,info@phoenix3pl.com,(414) 253-8010,https://www.phoenix3pl.com/,"1 Apollo Drive, Glen Falls, NY 12801",findawarehouse.org,['info@phoenix3pl.com']
Phoenix Logistics LLC - Poughkeepsie,info@phoenix3pl.com,(414) 253-8010,https://www.phoenix3pl.com/,"900 Dutchess Tpke, Poughkeepsie, NY 12603",findawarehouse.org,['info@phoenix3pl.com']
Sonwil Distribution Center Inc,sales@sonwil.com,(716) 684-0555,https://www.sonwil.com,"2732 Transit Rd, West Seneca, NY 14224",findawarehouse.org,['sales@sonwil.com']
"Sonwil Distribution Center, Inc. - Buffalo 1",sales@sonwil.com,(716) 206-1814,https://www.sonwil.com,"315 Ship Canal Pkwy, Buffalo, NY 14218",findawarehouse.org,['sales@sonwil.com']
"Sonwil Distribution Center, Inc. - Buffalo 2",sales@sonwil.com,(716) 684-0555,https://www.sonwil.com,"200 Sonwil Dr, Buffalo, NY 14225-5516",findawarehouse.org,['sales@sonwil.com']
"Sonwil Distribution Center, Inc. - Buffalo 3",sales@sonwil.com,(716) 684-0555,https://www.sonwil.com,"283 Ship Canal Pkwy, Buffalo, NY 14218-1026",findawarehouse.org,['sales@sonwil.com']
"Sonwil Distribution Center, Inc. - Depew",sales@sonwil.com,(716) 684-0555,https://www.sonwil.com,"2475 George Urban Blvd, Depew, NY 14043",findawarehouse.org,['sales@sonwil.com']
"Sonwil Distribution Center, Inc. - West Seneca",sales@sonwil.com,(716) 684-0555,https://www.sonwil.com,"4900 N American Dr, West Seneca, NY 14224-5340",findawarehouse.org,['sales@sonwil.com']
"TransPak, Inc. - Newburgh",,(408) 254-0500,https://www.transpak.com,"38 Jeanne Dr, Newburgh, NY 12550-1701",findawarehouse.org,[]
Walker SCM LLC & Affiliates,,(516) 568-2080,https://www.walkerscm.com,"70 E Sunrise Hwy Ste 611, Valley Stream, NY 11581-1233",findawarehouse.org,[]
